Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSizeScaleFactor	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrixScaleFactor	migModel.t:h3n2_2deme.rateMatrix_backward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_backward_NewZealand_HongKong	migModel.t:h3n2_2deme.rateMatrix_forward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_forward_NewZealand_HongKong	clockRate.c:h3n2_2deme	gammaShape.s:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme.1	freqParameter.s:h3n2_2deme.2	freqParameter.s:h3n2_2deme.3	freqParameter.s:h3n2_2deme.4
31000	-4637.483232250892	-4535.702410355661	-101.78082189523057	-4535.702410355661	7.383717514339709	48.05678407633101	31.08209710652673	16.974686969804274	3	9	35	24	0	1.0	1.7218661364730043	0.7527006098075433	1.0	0.1617045663637983	0.5638251127561439	0.24647183495092218	0.36991283560414295	0.0038291093181658646	0.283509894858488	8.185573827719024	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
32000	-4647.0160955661295	-4529.538186905597	-117.47790866053242	-4529.538186905597	7.4445580933849085	50.500046415842775	35.418855267514544	15.081191148328244	6	12	35	24	0	1.0	1.9113811665109697	0.7646138124815401	1.0	0.2430946374254144	1.1840040331416206	0.4736396139271778	0.6076878341325643	0.0035426286429054137	0.2266071422461009	8.185573827719024	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
33000	-4640.598038260649	-4538.1462633293295	-102.45177493131959	-4538.1462633293295	7.399052771538489	47.50077877086123	33.210690870494815	14.290087900366416	7	13	35	24	0	1.0	1.6747626706064769	0.5320278175213172	1.0	0.2961374394590384	1.0600648379859212	0.33675456951790345	0.9322067618299131	0.003819803741018749	0.2266071422461009	8.185573827719024	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
34000	-4646.738509866342	-4542.718463906374	-104.02004595996735	-4542.718463906374	7.41348830242232	46.30489069991077	34.28928950172259	12.015601198188183	4	14	39	20	0	1.0	1.7188075400028684	0.6367417669325363	1.0	0.3203870708902463	0.7906624892062218	0.29290529550714384	0.8648462245824917	0.00371368983612465	0.2266071422461009	8.185573827719024	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
35000	-4639.80185531138	-4538.713387942375	-101.08846736900412	-4538.713387942375	7.390308933373929	45.94950767380922	35.74514040823452	10.204367265574703	4	14	39	20	0	1.0	2.3676550518459245	0.7282803581086814	1.0	0.3251621802958031	1.2685111089708783	0.39018847951938496	1.0571092166290519	0.003390562626743026	0.2266071422461009	8.185573827719024	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
36000	-4630.097831071513	-4533.5047634711245	-96.59306760038776	-4533.5047634711245	7.405352471721111	47.051273385351	38.41088151416923	8.640391871181759	4	15	40	19	0	1.0	2.48033552574116	0.5009094662890843	1.0	0.24299107825914568	1.5216801760146415	0.30730681269519383	1.2032102493676577	0.0034171478821989525	0.2266071422461009	8.185573827719024	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
37000	-4633.418066264305	-4540.656762915805	-92.76130334849971	-4540.656762915805	7.397796509506504	45.98396645929596	37.075814381325536	8.908152077970406	3	14	40	19	0	1.0	2.1855851498947567	0.38693344090958204	1.0	0.16455468379662608	2.182850265208672	0.386449260120685	0.9294835628734797	0.003872393150792307	0.2266071422461009	8.185573827719024	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
38000	-4639.530970967418	-4539.093737604674	-100.43723336274469	-4539.093737604674	7.367018665495791	47.00962770811715	39.44392314848062	7.56570455963651	6	18	41	18	0	1.0	2.2642474593753645	0.4207500675692816	1.0	0.16560241598208364	2.1540675836402587	0.4002760730116772	0.8911819119128546	0.0031747087545145056	0.2266071422461009	7.447770384559667	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
39000	-4653.3298082159945	-4543.31488859499	-110.01491962100422	-4543.31488859499	7.747942596499847	48.49187044189939	35.975827941248994	12.5160425006504	7	16	38	21	0	1.0	2.468754927135528	0.5048096763766843	1.0	0.1717638396519179	1.6367113919999983	0.33467386294038326	0.8400053431780342	0.0033334537646984262	0.2266071422461009	7.447770384559667	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
40000	-4651.342493843901	-4535.7413984445775	-115.60109539932404	-4535.7413984445775	7.772331309072986	50.86268215506927	36.10791303415872	14.754769120910556	10	17	36	23	0	1.0	2.493283181665537	0.42173802549806827	1.0	0.1768267565124754	1.0690401575835042	0.18082778905853583	1.0453863569934159	0.0031095834812294525	0.2266071422461009	7.447770384559667	0.3782979780537044	0.2245854637627468	0.19504849571870123	0.2020680624648476
